"","leg_party","leg_republican","leg_black","leg_latino","reply_atall","treat_deshawn","treat_demprimary","treat_repprimary","treat_noprimary","treat_group","treat_jake","leg_notwhite","leg_white","leg_notblackotherminority","treat_primary"
"252","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"253","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"254","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"255","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"256","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"257","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"258","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"259","D",0,0,1,1,0,1,0,0,5,1,1,0,1,1
"260","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"261","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"262","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"263","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"264","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"265","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"266","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"267","D",0,0,0,1,0,1,0,0,5,1,1,0,1,1
"268","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"269","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"270","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"271","D",0,0,1,0,0,0,1,0,3,1,1,0,1,1
"272","D",0,0,1,0,0,0,1,0,3,1,1,0,1,1
"273","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"274","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"275","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"276","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"277","D",0,0,1,0,0,0,0,1,0,1,1,0,1,0
"278","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"279","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"280","D",0,1,0,0,1,0,0,1,6,0,1,0,0,0
"281","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
